(PDH-CSV 4.0) (India Standard Time)(-330),\\WINHK185087-E0I\Process(ConsoleApplication7)\Thread Count,\\WINHK185087-E0I\.NET CLR Memory(ConsoleApplication7)\# Bytes in all Heaps
10/30/2018 15:18:03.965,6,0
10/30/2018 15:18:05.961,6,0
10/30/2018 15:18:07.958,6,0
10/30/2018 15:18:09.952,6,0
10/30/2018 15:18:11.943,6,0
10/30/2018 15:18:13.948,6,0
10/30/2018 15:18:15.963,6,0
10/30/2018 15:18:17.955,6,0
10/30/2018 15:18:19.966,6,0
10/30/2018 15:18:21.954,6,0
10/30/2018 15:18:23.963,6,0
10/30/2018 15:18:25.956,6,0
10/30/2018 15:18:27.953,6,0
10/30/2018 15:18:29.960,6,0
10/30/2018 15:18:31.952,6,0
10/30/2018 15:18:33.962,6,0
10/30/2018 15:18:35.950,6,0
10/30/2018 15:18:37.959,6,0
10/30/2018 15:18:39.958,6,0
10/30/2018 15:18:41.945,6,0
10/30/2018 15:18:43.954,6,0
10/30/2018 15:18:45.947,6,0
10/30/2018 15:18:47.956,6,0
10/30/2018 15:18:49.952,6,0
10/30/2018 15:18:51.965,6,0
10/30/2018 15:18:53.952,6,0
10/30/2018 15:18:55.961,6,0
10/30/2018 15:18:57.952,6,0
10/30/2018 15:18:59.958,6,0
10/30/2018 15:19:01.944,6,0
10/30/2018 15:19:03.956,5,0
10/30/2018 15:19:05.949,5,0
10/30/2018 15:19:07.952,5,0
10/30/2018 15:19:09.967,5,0
10/30/2018 15:19:11.954,5,0
10/30/2018 15:19:13.959,5,0
10/30/2018 15:19:15.944,5,0
10/30/2018 15:19:17.959,5,0
10/30/2018 15:19:19.959,5,0
10/30/2018 15:19:21.963,5,0
10/30/2018 15:19:23.961,5,0
10/30/2018 15:19:25.949,5,0
10/30/2018 15:19:27.959,5,0
10/30/2018 15:19:29.946,5,0
10/30/2018 15:19:31.947,5,0
10/30/2018 15:19:33.947,5,0
10/30/2018 15:19:35.958,5,0
10/30/2018 15:19:37.945,5,0
10/30/2018 15:19:39.950,5,0
10/30/2018 15:19:41.964,5,0
10/30/2018 15:19:43.970,5,0
10/30/2018 15:19:45.962,5,0
10/30/2018 15:19:47.961,5,0
10/30/2018 15:19:49.947,5,0
10/30/2018 15:19:51.961,5,0
10/30/2018 15:19:53.947,5,0
10/30/2018 15:19:55.948,5,0
10/30/2018 15:19:57.965,5,0
10/30/2018 15:19:59.962,5,0
10/30/2018 15:20:01.951,5,0
10/30/2018 15:20:03.955,5,0
10/30/2018 15:20:05.972,5,0
10/30/2018 15:20:07.948,5,0
10/30/2018 15:20:09.954,5,0
10/30/2018 15:20:11.966,5,0
10/30/2018 15:20:13.958,5,0
10/30/2018 15:20:15.958,5,0
10/30/2018 15:20:17.952,5,0
10/30/2018 15:20:19.961,5,0
10/30/2018 15:20:21.952,5,0
10/30/2018 15:20:23.963,5,0
10/30/2018 15:20:25.971,5,0
10/30/2018 15:20:27.963,5,0
10/30/2018 15:20:29.953,5,0
10/30/2018 15:20:31.955,5,0
10/30/2018 15:20:33.960,5,0
10/30/2018 15:20:35.956,5,0
10/30/2018 15:20:37.958,5,0
10/30/2018 15:20:39.945,5,0
10/30/2018 15:20:41.961,5,0
10/30/2018 15:20:43.968,5,0
10/30/2018 15:20:45.964,5,0
10/30/2018 15:20:47.968,5,0
10/30/2018 15:20:49.970,5,0
10/30/2018 15:20:51.949,5,0
10/30/2018 15:20:53.952,5,0
10/30/2018 15:20:55.967,5,0
10/30/2018 15:20:57.962,5,0
10/30/2018 15:20:59.955,5,0
10/30/2018 15:21:01.955,5,0
10/30/2018 15:21:03.970,5,0
10/30/2018 15:21:05.964,5,0
10/30/2018 15:21:07.959,5,0
10/30/2018 15:21:09.952,5,0
10/30/2018 15:21:11.967,5,0
10/30/2018 15:21:13.953,5,0
10/30/2018 15:21:15.959,5,0
10/30/2018 15:21:17.953,5,0
10/30/2018 15:21:19.968,5,0
10/30/2018 15:21:21.956,5,0
10/30/2018 15:21:23.954,5,0
10/30/2018 15:21:25.956,5,0
10/30/2018 15:21:27.967,5,0
10/30/2018 15:21:29.966,5,0
10/30/2018 15:21:31.959,5,0
10/30/2018 15:21:33.951,5,0
10/30/2018 15:21:35.963,5,0
10/30/2018 15:21:37.951,5,0
10/30/2018 15:21:39.952,5,0
10/30/2018 15:21:41.961,5,0
10/30/2018 15:21:43.965,5,0
10/30/2018 15:21:45.953,5,0
10/30/2018 15:21:47.965,5,0
10/30/2018 15:21:49.959,5,0
10/30/2018 15:21:51.953,5,0
10/30/2018 15:21:53.967,5,0
10/30/2018 15:21:55.957,5,0
10/30/2018 15:21:57.948,5,0
10/30/2018 15:21:59.954,5,0
10/30/2018 15:22:01.958,5,0
10/30/2018 15:22:03.951,5,0
10/30/2018 15:22:05.964,5,0
10/30/2018 15:22:07.957,5,0
10/30/2018 15:22:09.948,5,0
10/30/2018 15:22:11.965,5,0
10/30/2018 15:22:13.952,5,0
10/30/2018 15:22:15.958,5,0
10/30/2018 15:22:17.953,5,0
10/30/2018 15:22:19.964,5,0
10/30/2018 15:22:21.962,5,0
10/30/2018 15:22:23.947,5,0
10/30/2018 15:22:25.963,5,0
10/30/2018 15:22:27.957,5,0
10/30/2018 15:22:29.949,5,0
10/30/2018 15:22:31.957,5,0
10/30/2018 15:22:33.944,5,0
10/30/2018 15:22:35.958,5,0
10/30/2018 15:22:37.950,5,0
10/30/2018 15:22:39.962,5,0
10/30/2018 15:22:41.956,5,0
10/30/2018 15:22:43.959,5,0
10/30/2018 15:22:45.957,5,0
10/30/2018 15:22:47.950,5,0
10/30/2018 15:22:49.952,5,0
10/30/2018 15:22:51.968,5,0
10/30/2018 15:22:53.955,5,0
10/30/2018 15:22:55.966,5,0
10/30/2018 15:22:57.945,5,0
10/30/2018 15:22:59.951,5,0
10/30/2018 15:23:01.957,5,0
10/30/2018 15:23:03.951,5,0
10/30/2018 15:23:05.949,5,0
10/30/2018 15:23:07.968,5,0
10/30/2018 15:23:09.953,5,0
10/30/2018 15:23:11.964,5,0
10/30/2018 15:23:13.969,5,0
